1743408331.017617 server started (27176): version 3.5a, socket /private/tmp/tmux-502/test, protocol 8
1743408331.017675 on Darwin 24.3.0 Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:16 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T6000
1743408331.017686 using libevent 2.1.12-stable select
1743408331.017699 using utf8proc 2.10.0
1743408331.017707 using ncurses 6.5 20240427
1743408331.017883 input_key_build: 0x10e003 (PasteStart) is \033[200~
1743408331.017892 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1743408331.017901 input_key_build: 0x10e195 (F1) is \033OP
1743408331.017908 input_key_build: 0x10e196 (F2) is \033OQ
1743408331.017913 input_key_build: 0x10e197 (F3) is \033OR
1743408331.017920 input_key_build: 0x10e198 (F4) is \033OS
1743408331.017926 input_key_build: 0x10e199 (F5) is \033[15~
1743408331.017931 input_key_build: 0x10e19a (F6) is \033[17~
1743408331.017937 input_key_build: 0x10e19b (F7) is \033[18~
1743408331.017943 input_key_build: 0x10e19c (F8) is \033[19~
1743408331.017949 input_key_build: 0x10e19d (F9) is \033[20~
1743408331.017954 input_key_build: 0x10e19e (F10) is \033[21~
1743408331.017960 input_key_build: 0x10e19f (F11) is \033[23~
1743408331.017966 input_key_build: 0x10e1a0 (F12) is \033[24~
1743408331.017971 input_key_build: 0x10e1a1 (IC) is \033[2~
1743408331.017977 input_key_build: 0x10e1a2 (DC) is \033[3~
1743408331.017982 input_key_build: 0x10e1a3 (Home) is \033[1~
1743408331.017988 input_key_build: 0x10e1a4 (End) is \033[4~
1743408331.017993 input_key_build: 0x10e1a5 (NPage) is \033[6~
1743408331.017999 input_key_build: 0x10e1a6 (PPage) is \033[5~
1743408331.018004 input_key_build: 0x10e1a7 (BTab) is \033[Z
1743408331.018010 input_key_build: 0x10e1a8 (Up) is \033[A
1743408331.018015 input_key_build: 0x10e1a9 (Down) is \033[B
1743408331.018021 input_key_build: 0x10e1aa (Left) is \033[D
1743408331.018026 input_key_build: 0x10e1ab (Right) is \033[C
1743408331.018031 input_key_build: 0x10e1ac (KP/) is /
1743408331.018037 input_key_build: 0x10e1ad (KP*) is *
1743408331.018042 input_key_build: 0x10e1ae (KP-) is -
1743408331.018047 input_key_build: 0x10e1af (KP7) is 7
1743408331.018053 input_key_build: 0x10e1b0 (KP8) is 8
1743408331.018058 input_key_build: 0x10e1b1 (KP9) is 9
1743408331.018064 input_key_build: 0x10e1b2 (KP+) is +
1743408331.018069 input_key_build: 0x10e1b3 (KP4) is 4
1743408331.018075 input_key_build: 0x10e1b4 (KP5) is 5
1743408331.018080 input_key_build: 0x10e1b5 (KP6) is 6
1743408331.018086 input_key_build: 0x10e1b6 (KP1) is 1
1743408331.018091 input_key_build: 0x10e1b7 (KP2) is 2
1743408331.018096 input_key_build: 0x10e1b8 (KP3) is 3
1743408331.018102 input_key_build: 0x10e1b9 (KPEnter) is \n
1743408331.018107 input_key_build: 0x10e1ba (KP0) is 0
1743408331.018112 input_key_build: 0x10e1bb (KP.) is .
1743408331.018118 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1743408331.018124 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1743408331.018129 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1743408331.018135 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1743408331.018140 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1743408331.018146 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1743408331.018151 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1743408331.018156 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1743408331.018162 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1743408331.018167 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1743408331.018173 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1743408331.018179 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1743408331.018184 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1743408331.018190 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1743408331.018195 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1743408331.018201 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1743408331.018207 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1743408331.018212 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1743408331.018218 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1743408331.018234 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1743408331.018239 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1743408331.018243 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1743408331.018247 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1743408331.018251 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1743408331.018255 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1743408331.018259 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1743408331.018263 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1743408331.018267 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1743408331.018271 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1743408331.018275 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1743408331.018279 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1743408331.018283 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1743408331.018287 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1743408331.018292 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1743408331.018296 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1743408331.018300 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1743408331.018304 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1743408331.018307 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1743408331.018311 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1743408331.018316 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1743408331.018322 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1743408331.018326 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1743408331.018330 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1743408331.018334 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1743408331.018338 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1743408331.018342 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1743408331.018346 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1743408331.018350 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1743408331.018354 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1743408331.018357 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1743408331.018361 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1743408331.018365 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1743408331.018369 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1743408331.018373 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1743408331.018377 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1743408331.018381 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1743408331.018385 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1743408331.018389 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1743408331.018393 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1743408331.018397 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1743408331.018401 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1743408331.018405 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1743408331.018409 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1743408331.018413 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1743408331.018417 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1743408331.018421 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1743408331.018426 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1743408331.018430 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1743408331.018434 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1743408331.018438 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1743408331.018442 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1743408331.018496 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1743408331.018524 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1743408331.018533 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1743408331.018540 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1743408331.018545 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1743408331.018566 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1743408331.018571 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1743408331.018576 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1743408331.018581 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1743408331.018586 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1743408331.018590 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1743408331.018594 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1743408331.018599 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1743408331.018604 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1743408331.018610 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1743408331.018616 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1743408331.018621 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1743408331.018625 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1743408331.018630 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1743408331.018635 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1743408331.018639 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1743408331.018643 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1743408331.018647 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1743408331.018653 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1743408331.018659 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1743408331.018664 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1743408331.018668 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1743408331.018672 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1743408331.018676 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1743408331.018681 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1743408331.018685 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1743408331.018689 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1743408331.018694 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
